NOTA_CANDIDATO;NOTA_CORTE;MARGEM;CLASSIFICACAO;IDADE;QT_VAGAS_CONCORRENCIA;GRAU;TURNO;TIPO_MOD_CONCORRENCIA;TP_COTA;SEXO;OPCAO;MESMA_UF;EFETIVOU
560.03;543.95;16.079999999999927;7;18;11;Tecnológico;Matutino;A;AMPLA;F;2;1;0
549.4;569.52;-20.120000000000005;21;21;8;Bacharelado;Matutino;A;AMPLA;F;1;0;0
751.86;743.18;8.680000000000064;2;20;4;Bacharelado;Integral;L;D   ;F;2;1;0
565.36;650.62;-85.25999999999999;74;20;15;Bacharelado;Integral;A;AMPLA;F;1;1;0
517.49;;;7;20;20;Licenciatura;Vespertino;B;AMPLA;F;1;1;0
502.88;;;8;32;12;Bacharelado;Integral;A;AMPLA;M;1;1;1
566.85;672.77;-105.91999999999996;65;18;20;Bacharelado;Noturno;A;AMPLA;F;1;0;0
737.5;749.54;-12.039999999999964;36;19;22;Bacharelado;Integral;A;AMPLA;F;1;0;0
681.73;681.73;0.0;30;19;30;Bacharelado;Integral;A;AMPLA;M;1;1;1
521.43;665.37;-143.94000000000005;83;20;15;Bacharelado;Integral;A;AMPLA;F;1;1;0
490.48;450.82;39.660000000000025;2;18;7;Licenciatura;Integral;L;PPI ;F;1;1;0
584.8;568.47;16.329999999999927;3;28;6;Licenciatura;Integral;A;AMPLA;F;2;1;1
509.02;548.28;-39.25999999999999;15;21;11;Tecnológico;Noturno;A;AMPLA;M;2;0;0
681.36;694.3;-12.93999999999994;25;18;15;Bacharelado;Integral;A;AMPLA;F;2;1;0
585.98;565.05;20.930000000000064;6;21;13;Licenciatura;Integral;A;AMPLA;F;2;1;1
582.52;613.68;-31.159999999999968;37;17;22;Bacharelado;Integral;B;AMPLA;F;1;1;0
642.8;599.18;43.620000000000005;14;24;26;Tecnológico;Matutino;A;AMPLA;M;1;1;0
541.46;564.94;-23.480000000000018;67;21;16;Bacharelado;Noturno;V;AMPLA;F;1;1;0
600.58;510.43;90.15000000000003;2;18;15;Bacharelado;Matutino;B;AMPLA;M;1;1;1
632.68;665.08;-32.40000000000009;6;18;2;Bacharelado;Vespertino;L;D   ;F;2;1;0
533.86;518.5;15.360000000000014;14;19;20;Licenciatura;Noturno;B;AMPLA;F;1;1;1
561.82;550.67;11.150000000000091;1;20;5;Bacharelado;Integral;L;PPI ;F;1;1;0
711.18;795.7;-84.5200000000001;461;20;45;Bacharelado;Integral;A;AMPLA;F;1;1;0
651.86;648.7;3.159999999999968;8;21;7;Tecnológico;Noturno;A;AMPLA;M;2;1;0
542.07;661.98;-119.90999999999997;32;19;3;Bacharelado;Integral;L;D   ;M;1;1;0
682.46;618.73;63.73000000000002;2;19;15;Bacharelado;Integral;A;AMPLA;M;1;0;0
740.9;716.54;24.360000000000014;7;23;25;Bacharelado;Integral;A;AMPLA;M;1;1;1
630.91;766.64;-135.73000000000002;259;20;10;Bacharelado;Integral;L;D   ;F;1;0;0
555.05;545.55;9.5;3;23;5;Tecnológico;Noturno;L;PPI ;M;1;1;0
573.14;672.53;-99.38999999999999;125;19;28;Bacharelado;Integral;A;AMPLA;F;2;1;0
515.18;538.34;-23.160000000000082;8;30;4;Licenciatura;Noturno;L;PPI ;F;2;1;0
621.69;621.69;0.0;20;22;20;Bacharelado;Vespertino;B;AMPLA;F;1;1;0
587.07;582.47;4.600000000000023;3;24;4;Licenciatura;Noturno;L;D   ;F;1;1;1
690.38;696.81;-6.42999999999995;6;21;5;Bacharelado;Matutino;L;D   ;F;1;0;0
572.56;584.76;-12.200000000000045;37;19;30;Bacharelado;Integral;B;AMPLA;F;2;1;1
569.9;687.81;-117.90999999999997;40;20;6;Bacharelado;Integral;L;D   ;F;1;1;0
662.98;662.87;0.11000000000001364;29;20;30;Bacharelado;Integral;B;AMPLA;F;1;1;1
468.84;;;7;19;17;Licenciatura;Matutino;B;AMPLA;F;2;1;0
599.95;;;1;20;15;Bacharelado;Noturno;A;AMPLA;M;2;1;1
631.8;658.83;-27.030000000000086;31;23;15;Bacharelado;Integral;A;AMPLA;M;1;1;0
482.0;;;2;26;4;Licenciatura;EaD;A;AMPLA;M;2;1;1
624.54;587.4;37.139999999999986;1;23;2;Bacharelado;Integral;L;D   ;M;2;0;1
547.28;;;1;19;5;Bacharelado;Integral;L;PPI ;F;2;1;0
516.02;637.82;-121.80000000000007;76;27;20;Bacharelado;Integral;A;AMPLA;F;2;1;0
652.68;614.8;37.879999999999995;1;19;16;Bacharelado;Noturno;L;D   ;M;1;1;0
