NOTA_CANDIDATO;NOTA_CORTE;MARGEM;CLASSIFICACAO;IDADE;QT_VAGAS_CONCORRENCIA;GRAU;TURNO;TIPO_MOD_CONCORRENCIA;TP_COTA;SEXO;OPCAO;MESMA_UF;EFETIVOU
654.02;739.15;-85.13;149;19;11;Bacharelado;Integral;L;PPI ;F;1;0;0
609.86;563.24;46.620000000000005;2;19;17;Tecnológico;Integral;A;AMPLA;M;1;0;0
668.12;682.76;-14.639999999999986;7;19;4;Bacharelado;Noturno;A;AMPLA;F;2;1;0
561.69;591.89;-30.199999999999932;20;24;11;Licenciatura;Integral;L;D   ;M;1;1;1
569.82;561.88;7.940000000000055;1;33;3;Licenciatura;EaD;L;D   ;F;1;1;1
611.89;572.88;39.00999999999999;1;19;3;Bacharelado;Noturno;A;AMPLA;F;1;0;0
630.54;663.38;-32.84000000000003;48;19;20;Bacharelado;Noturno;A;AMPLA;F;1;1;1
582.61;553.71;28.899999999999977;10;23;15;Licenciatura;Noturno;A;AMPLA;F;1;1;0
465.89;577.37;-111.48000000000002;2;18;1;Bacharelado;Matutino;L;D   ;F;1;1;0
525.27;650.62;-125.35000000000002;89;18;15;Bacharelado;Integral;A;AMPLA;F;1;0;0
549.13;578.47;-29.340000000000032;10;21;5;Bacharelado;Integral;L;PPI ;F;2;1;0
469.6;675.56;-205.95999999999992;25;25;3;Bacharelado;Integral;L;D   ;F;2;1;0
756.1;766.64;-10.539999999999964;26;26;10;Bacharelado;Integral;L;D   ;M;2;0;0
621.48;621.48;0.0;1;19;1;Bacharelado;Integral;L;PPI ;M;2;1;0
813.53;816.33;-2.800000000000068;76;23;50;Bacharelado;Integral;A;AMPLA;F;2;1;1
607.02;620.24;-13.220000000000027;33;19;25;Bacharelado;Integral;A;AMPLA;F;1;1;0
620.89;637.21;-16.32000000000005;4;21;2;Bacharelado;Integral;L;D   ;F;1;1;0
633.01;668.04;-35.02999999999997;18;19;4;Bacharelado;Noturno;L;D   ;F;1;1;0
616.76;687.81;-71.04999999999995;29;19;6;Bacharelado;Integral;L;D   ;F;1;0;0
616.69;670.3;-53.6099999999999;21;18;5;Bacharelado;Integral;L;D   ;F;2;0;1
491.2;482.56;8.639999999999986;4;19;5;Bacharelado;Noturno;L;PPI ;F;2;1;1
541.84;536.56;5.280000000000086;39;18;4;Licenciatura;Integral;V;AMPLA;F;2;1;0
568.42;555.72;12.699999999999932;3;18;5;Bacharelado;Noturno;L;D   ;F;1;1;1
467.96;570.51;-102.55000000000001;4;19;1;Bacharelado;Integral;L;PPI ;M;1;1;0
472.04;472.04;0.0;3;26;3;Bacharelado;Integral;L;PPI ;F;1;1;1
547.07;651.74;-104.66999999999996;18;18;4;Bacharelado;Integral;L;D   ;F;2;1;0
569.36;655.72;-86.36000000000001;28;47;5;Bacharelado;Integral;A;AMPLA;F;1;0;0
579.14;505.0;74.13999999999999;1;19;14;Bacharelado;Integral;A;AMPLA;M;2;0;0
560.9;579.34;-18.440000000000055;2;18;1;Bacharelado;Noturno;L;PPI ;F;2;0;0
688.89;;;1;21;4;Bacharelado;Integral;L;D   ;M;2;1;0
