NOTA_CANDIDATO;NOTA_CORTE;MARGEM;CLASSIFICACAO;IDADE;QT_VAGAS_CONCORRENCIA;GRAU;TURNO;TIPO_MOD_CONCORRENCIA;TP_COTA;SEXO;OPCAO;MESMA_UF;EFETIVOU
462.57;551.16;-88.58999999999997;30;20;9;Bacharelado;Noturno;L;PPI ;F;1;1;0
690.78;682.59;8.18999999999994;28;18;36;Bacharelado;Integral;A;AMPLA;F;1;1;1
703.41;657.28;46.129999999999995;3;18;7;Bacharelado;Integral;L;D   ;M;1;1;1
450.48;450.48;0.0;3;18;3;Licenciatura;Noturno;L;D   ;F;2;1;0
484.54;560.4;-75.85999999999996;38;18;8;Bacharelado;Integral;L;PP  ;M;1;1;1
652.3;785.79;-133.49;193;19;9;Bacharelado;Integral;L;D   ;F;1;0;0
367.8;582.06;-214.25999999999993;9;20;3;Bacharelado;Integral;L;PPI ;M;2;0;1
592.48;576.54;15.940000000000055;8;19;7;Bacharelado;Vespertino;A;AMPLA;F;1;1;0
746.7;743.86;2.840000000000032;1;19;5;Bacharelado;Integral;L;PPI ;M;1;0;1
517.94;749.54;-231.5999999999999;190;26;22;Bacharelado;Integral;A;AMPLA;F;1;1;0
554.35;543.95;10.399999999999977;9;26;11;Tecnológico;Matutino;A;AMPLA;F;2;1;0
633.23;653.19;-19.960000000000036;37;29;25;Bacharelado;Noturno;A;AMPLA;M;1;0;0
557.83;522.57;35.25999999999999;1;24;3;Licenciatura;Matutino;L;D   ;F;2;1;0
478.7;549.46;-70.76000000000005;5;19;2;Licenciatura;Integral;L;D   ;F;1;1;1
565.17;659.86;-94.69000000000005;21;18;6;Bacharelado;Noturno;L;D   ;M;1;1;0
661.45;775.21;-113.75999999999999;368;21;6;Bacharelado;Integral;V;AMPLA;M;2;1;0
697.83;670.38;27.450000000000045;1;19;16;Bacharelado;Noturno;A;AMPLA;M;1;0;0
594.41;589.0;5.409999999999968;18;24;20;Bacharelado;Integral;A;AMPLA;F;2;1;0
553.68;553.36;0.31999999999993634;7;22;8;Bacharelado;Integral;L;PP  ;M;1;1;1
492.45;438.44;54.00999999999999;14;18;12;Licenciatura;Noturno;V;AMPLA;F;1;1;0
587.91;749.54;-161.63;176;19;22;Bacharelado;Integral;A;AMPLA;F;1;1;0
579.69;560.92;18.770000000000095;25;19;17;Bacharelado;Integral;A;AMPLA;M;1;1;1
445.91;609.3;-163.38999999999993;8;22;4;Licenciatura;Noturno;L;D   ;F;1;1;0
591.71;;;7;19;12;Licenciatura;Integral;A;AMPLA;F;2;1;1
753.42;758.42;-5.0;17;20;12;Bacharelado;Integral;L;PPI ;F;1;1;1
789.94;786.46;3.480000000000018;1;19;20;Bacharelado;Integral;A;AMPLA;F;1;0;1
521.81;563.6;-41.79000000000008;12;21;4;Bacharelado;Integral;L;PPI ;M;2;1;0
556.99;618.54;-61.549999999999955;9;20;4;Licenciatura;Integral;L;D   ;M;1;1;1
685.04;702.45;-17.410000000000082;11;19;6;Bacharelado;Noturno;L;D   ;F;2;0;1
657.36;739.15;-81.78999999999996;141;21;11;Bacharelado;Integral;L;PPI ;M;2;0;0
676.4;658.08;18.319999999999936;12;21;6;Bacharelado;Matutino;A;AMPLA;F;1;1;0
659.63;683.7;-24.07000000000005;7;18;4;Bacharelado;Integral;L;D   ;M;1;1;1
503.66;447.99;55.670000000000016;4;19;6;Bacharelado;Integral;L;PPI ;M;1;1;0
622.55;574.59;47.95999999999992;4;19;7;Bacharelado;Integral;A;AMPLA;M;1;1;1
602.64;564.94;37.69999999999993;22;19;20;Bacharelado;Noturno;A;AMPLA;F;2;1;0
649.48;660.54;-11.059999999999945;33;21;25;Bacharelado;Integral;A;AMPLA;M;1;1;1
590.82;491.61;99.21000000000004;2;18;12;Bacharelado;Integral;A;AMPLA;F;2;1;0
660.6;694.3;-33.69999999999993;50;23;15;Bacharelado;Integral;A;AMPLA;F;1;1;0
436.88;413.32;23.560000000000002;7;22;8;Bacharelado;Matutino;L;PPI ;F;1;1;0
718.5;795.7;-77.20000000000005;409;22;45;Bacharelado;Integral;A;AMPLA;M;2;0;0
706.87;704.07;2.7999999999999545;19;18;25;Bacharelado;Integral;A;AMPLA;M;1;0;0
534.09;536.56;-2.4699999999999136;47;20;20;Licenciatura;Integral;A;AMPLA;M;1;1;0
570.51;570.51;0.0;1;19;1;Bacharelado;Integral;L;PPI ;F;2;0;0
463.84;463.84;0.0;6;19;1;Bacharelado;Integral;V;AMPLA;M;1;1;1
657.11;641.66;15.450000000000045;11;18;9;Bacharelado;Integral;A;AMPLA;F;1;1;0
569.93;569.93;0.0;2;20;2;Bacharelado;Vespertino;L;PPI ;M;2;0;0
714.02;714.02;0.0;7;18;7;Bacharelado;Integral;L;D   ;F;2;1;1
566.96;566.96;0.0;1;19;1;Bacharelado;Noturno;L;PPI ;M;1;1;1
667.43;743.18;-75.75;24;18;4;Bacharelado;Integral;L;D   ;F;1;1;0
557.79;649.49;-91.70000000000005;42;23;7;Bacharelado;Integral;L;PPI ;M;2;1;0
620.08;641.66;-21.579999999999927;43;24;6;Bacharelado;Integral;V;AMPLA;F;2;1;0
584.72;545.32;39.39999999999998;7;19;20;Bacharelado;Integral;B;AMPLA;M;1;1;0
467.88;450.82;17.060000000000002;4;18;7;Licenciatura;Integral;L;PPI ;F;1;1;0
572.74;605.48;-32.74000000000001;31;20;20;Bacharelado;Noturno;A;AMPLA;F;1;1;0
607.76;623.03;-15.269999999999982;12;23;5;Bacharelado;Integral;L;PPI ;F;1;1;1
645.68;721.08;-75.40000000000009;17;18;3;Bacharelado;Integral;L;D   ;M;2;1;0
645.77;678.0;-32.23000000000002;90;19;30;Bacharelado;Noturno;A;AMPLA;F;1;0;0
532.23;532.23;0.0;1;22;3;Licenciatura;Integral;L;PPI ;M;1;1;1
464.28;464.28;0.0;16;19;16;Bacharelado;Integral;B;AMPLA;M;2;1;0
