NOTA_CANDIDATO;NOTA_CORTE;MARGEM;CLASSIFICACAO;IDADE;QT_VAGAS_CONCORRENCIA;GRAU;TURNO;TIPO_MOD_CONCORRENCIA;TP_COTA;SEXO;OPCAO;MESMA_UF;EFETIVOU
505.99;505.99;0.0;4;20;4;Licenciatura;Noturno;L;PPI ;M;2;1;0
538.47;505.99;32.48000000000002;1;20;4;Licenciatura;Noturno;L;PPI ;F;2;1;0
508.72;505.99;2.730000000000018;3;22;4;Licenciatura;Noturno;L;PPI ;M;1;1;0
509.34;505.99;3.349999999999966;2;19;4;Licenciatura;Noturno;L;PPI ;M;2;1;1
455.13;546.97;-91.84000000000003;9;19;3;Licenciatura;Noturno;L;D   ;F;1;1;0
523.58;546.97;-23.389999999999986;6;37;3;Licenciatura;Noturno;L;D   ;F;2;1;1
505.37;546.97;-41.60000000000002;8;20;3;Licenciatura;Noturno;L;D   ;F;2;1;0
569.82;546.97;22.850000000000023;1;24;3;Licenciatura;Noturno;L;D   ;M;1;1;1
528.95;546.97;-18.019999999999982;5;27;3;Licenciatura;Noturno;L;D   ;F;2;1;0
546.97;546.97;0.0;3;18;3;Licenciatura;Noturno;L;D   ;F;2;1;1
535.77;546.97;-11.200000000000045;4;19;3;Licenciatura;Noturno;L;D   ;M;1;1;0
516.25;546.97;-30.720000000000027;7;21;3;Licenciatura;Noturno;L;D   ;F;1;1;0
563.59;546.97;16.620000000000005;2;24;3;Licenciatura;Noturno;L;D   ;F;2;1;0
509.87;581.12;-71.25;6;24;3;Licenciatura;Noturno;L;D   ;M;2;1;0
537.7;581.12;-43.41999999999996;4;19;3;Licenciatura;Noturno;L;D   ;M;1;1;0
525.25;581.12;-55.870000000000005;5;20;3;Licenciatura;Noturno;L;D   ;F;1;1;1
581.12;581.12;0.0;3;18;3;Licenciatura;Noturno;L;D   ;F;2;1;0
601.43;581.12;20.309999999999945;1;19;3;Licenciatura;Noturno;L;D   ;M;1;1;1
597.76;581.12;16.639999999999986;2;36;3;Licenciatura;Noturno;L;D   ;M;1;1;0
459.63;571.0;-111.37;76;19;40;Licenciatura;Integral;A;AMPLA;F;1;1;0
530.07;571.0;-40.92999999999995;58;18;40;Licenciatura;Integral;A;AMPLA;F;2;1;0
507.96;571.0;-63.04000000000002;67;21;40;Licenciatura;Integral;A;AMPLA;F;2;1;0
505.26;571.0;-65.74000000000001;69;20;40;Licenciatura;Integral;A;AMPLA;F;1;1;0
592.06;571.0;21.059999999999945;35;19;40;Licenciatura;Integral;A;AMPLA;F;2;1;0
540.8;571.0;-30.200000000000045;55;18;40;Licenciatura;Integral;A;AMPLA;F;2;1;0
514.24;571.0;-56.75999999999999;64;25;40;Licenciatura;Integral;A;AMPLA;F;1;1;0
619.54;571.0;48.539999999999964;20;19;40;Licenciatura;Integral;A;AMPLA;F;2;0;0
637.21;571.0;66.21000000000004;8;20;40;Licenciatura;Integral;A;AMPLA;F;2;1;1
628.3;571.0;57.299999999999955;11;18;40;Licenciatura;Integral;A;AMPLA;F;1;1;1
616.63;571.0;45.629999999999995;21;18;40;Licenciatura;Integral;A;AMPLA;F;2;1;0
562.07;571.0;-8.92999999999995;46;18;40;Licenciatura;Integral;A;AMPLA;F;2;1;0
564.7;571.0;-6.2999999999999545;43;21;40;Licenciatura;Integral;A;AMPLA;F;1;1;0
